,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_GPT,word_count,similarity
0,acidity,'The state of being acid that is of being capable of transferring a hydrogen ion in solution.','the state of having a bitter sharp taste or of containing acid',17,12,When something tastes really sour,5,0.64789075
1,actinium,'A radioactive element of the actinide series occurring as a decay product of uranium. It is used as an alpha particle source and in neutron production.','a chemical element. Actinium is a radioactive metal.',26,8,Actinium is a metal that can be dangerous because it gives off energy,13,0.76130754
2,adhesive,'Substance used for sticking objects together.','a substance that you use to make things stick together',6,10,It is something you use to make things stay,9,0.81680614
3,advice,Official notice opinion counsel or recommendation that is optional or at the receiver's discretion.,'an opinion or a suggestion about what somebody should do in a particular situation',14,14,A thought or idea about what someone should do in a certain time,13,0.8585576
4,aeration,'Exposition to the action of air.','the process of making it possible for air to become mixed with soil water etc.',6,15,It helps air mix with the dirt and water,9,0.7566725
5,agriculture,'The production of plants and animals useful to man involving soil cultivation and the breeding and management of crops and livestock.','the science or practice of farming',21,6,The work of growing plants and raising animals,8,0.75418055
6,agrochemical,'Any substance or mixture of substances used or intended to be used for preventing destroying repelling attracting inhibiting or controlling any insects rodents birds nematodes bacteria fungi weeds or other forms of plant animal or microbial life regarded as pests.','any chemical used in farming especially for killing insects or for making plants grow better',40,15,A special thing farmers use to kill bugs or help plants grow better,13,0.83116496
7,agroforestry,'The interplanting of farm crops and trees especially leguminous species. In semiarid regions and on denuded hillsides agroforestry helps control erosion and restores soil fertility as well as supplying valuable food and commodities at the same time.','farming that includes growing trees to produce wood',37,8,Growing trees on a farm for wood,7,0.7537044
8,aircraft,'A vehicle designed to be supported by the air either by the dynamic action of the air upon the surfaces of the structure or object or by its own buoyancy.','any vehicle that can fly and carry goods or passengers',30,10,A thing that can fly and take stuff or people,10,0.6872137
9,algicide,'Any substance or chemical applied to kill or control algal growth.','a substance that kills algae',11,5,A thing that makes the green stuff in water go away,11,0.77657646
10,allergen,'Any antigen such as pollen a drug or food that induces an allergic state in humans or animals.','a substance that causes an allergy',18,6,A thing that makes you sneeze or feel itchy,9,0.72911406
11,allergy,'A condition of abnormal sensitivity in certain individuals to contact with substances such as proteins pollens bacteria and certain foods. This contact may result in exaggerated physiologic responses such as hay fever asthma and in severe enough situations anaphylactic shock.','a medical condition that causes you to react badly or feel ill when you eat or touch a particular substance',40,20,You might feel sick when you eat or touch certain things,11,0.84729457
12,alloy,'Any of a large number of substances having metallic properties and consisting of two or more elements; with few exceptions the components are usually metallic elements.','a metal that is formed by mixing two types of metal together or by mixing metal with another substance',26,19,A metal made by mixing two metals or mixing metal with something else,13,0.91353905
13,alumina,'A natural or synthetic oxide of aluminum widely distributed in nature often found as a constituent part of clays feldspars micas and other minerals and as a major component of bauxite.','a white substance found in many types of rock especially clay',31,11,White stuff in rocks especially clay,6,0.7835052
14,alveolus,'A tiny thin-walled capillary-rich sac in the lungs where the exchange of oxygen and carbon dioxide takes place.','one of the many small spaces in each lung where gases can pass into or out of the blood',18,19,One of the little air spaces in the lung where air can go into or out of the blood,19,0.9026816
15,ammonia,'A colorless gaseous alkaline compound that is very soluble in water has a characteristic pungent odour is lighter than air and is formed as a result of the decomposition of most nitrogenous organic material.','a gas with a strong smell; a clear liquid containing ammonia used as a cleaning substance',34,16,A strongsmelling gas and clear liquid called ammonia is used for cleaning,12,0.82129693
17,amphibian,'A class of vertebrate animals characterized by a moist glandular skin gills at some stage of development and no amnion during the embryonic stage.','any animal that can live both on land and in water. Amphibians have cold blood and skin without scales. Frogs toads and newts are all amphibians.',24,26,An animal that can live on land and in water They have cold blood and smooth skin Frogs toads and newts are all like this,25,0.8850086
18,angling,'The art or sport of catching fish with a rod and line and a baited hook or other lure such as a fly.','the art or sport of catching fish with a fishing rod',23,11,Fishing is catching fish with a fishing stick,8,0.7863605
19,anion,'An ion that is negatively charged.','an ion with a negative electrical charge',6,7,A thing with a little bit of bad electricity,9,0.6548628
20,antagonism,'The situation in which two chemicals upon interaction interfere in such a way that the action of one partially or completely inhibits the effects of the other.','feelings of opposition and hate',27,5,feelings of dislike and anger,5,0.794919
21,antibiotic,'A chemical substance produced by microorganisms and synthetically that has the capacity to inhibit the growth of and even to destroy bacteria and other microorganisms.','a substance for example penicillin that can destroy or prevent the growth of bacteria and cure infections',25,17,A special thing like a medicine that can stop bad germs and help you get better,16,0.7802454
22,antibody,'A complex protein that is produced in response to the introduction of a specific antigen into an animal. Antibodies belong to a class of proteins called immunoglobins which are formed by plasma cells in the blood as a defence mechanism against invasion by parasites notably bacteria and viruses either by killing them or rendering them harmless.','a substance that the body produces in the blood to fight disease or as a reaction when certain substances are put into the body',56,24,A thing that the body makes in the blood to fight sickness or when some things go into the body,20,0.86416674
23,apiculture,'The agricultural practice of intentional maintenance of honey bee colonies.','the activity of owning and taking care of bees',10,9,Keeping and caring for bees,5,0.7524754
24,aquaculture,'The cultivation and harvest of freshwater or marine animals and plants in ponds tanks cages or on protected beds.','the practice of growing plants in water or farming fish for food',19,12,Growing plants in water and farming fish to eat,9,0.82730186
25,aquifer,'Layers of rock sand or gravel that can absorb water and allow it to flow.','a layer of rock or soil that can take in and hold water',15,13,A part of the ground that can hold water,9,0.83149546
26,arboriculture,'The planting and care of woody plants especially trees.','the study or practice of growing trees and shrubs',9,9,The work of taking care of trees and bushes,9,0.74439824
27,archaeology,'The scientific study of the material remains of the cultures of historical or prehistorical peoples.','the study of cultures of the past and of periods of history by examining the parts of buildings and objects found in the ground',15,24,Looking at old buildings and things found in the ground to learn about how people lived long ago,18,0.7561969
28,arsenic,'A toxic metalloid element with symbol As and atomic number 33 existing in several allotropic forms that occurs principally in realgar and orpiment and as the free element. It is used in semiconductors lead-based alloys and high temperature brasses.','a chemical element. Arsenic is a grey metalloid (= has properties of both metals and other solid substances) and is very poisonous especially in its compound forms.',39,27,Arsenic is a grey thing that is part metal and part something else and it is very bad for you if you touch it especially when mixed with other things,30,0.8061696
29,asbestos,'Generic name for a group of fibrous mineral silicates.','a soft grey mineral that does not burn and can be woven into material used especially in the past in building as a protection against fire or to prevent heat loss. Asbestos is dangerous if you breathe it in.',9,39,A soft gray rock that doesnt burn and was used in the past to make things that stop fire or keep heat in but breathing it in is dangerous,29,0.8329031
30,astronomy,'The science concerned with celestial bodies and the observation and interpretation of the radiation received in the vicinity of the earth from the component parts of the universe.','the scientific study of the sun moon stars planets etc.',28,10,The learning about the sun moon and stars,8,0.8311752
31,bactericide,'An agent that destroys bacteria.','a substance which is used to kill bacteria',5,8,A thing used to get rid of germs,8,0.73454297
