"train/global_step","./falcon_gpt_results_packing - _step","./falcon_gpt_results_packing - _step__MIN","./falcon_gpt_results_packing - _step__MAX","./falcon_gpt_results_packing - eval/loss","./falcon_gpt_results_packing - eval/loss__MIN","./falcon_gpt_results_packing - eval/loss__MAX"
"50","1","1","1","3.5548813343048096","3.5548813343048096","3.5548813343048096"
"100","3","3","3","2.8676342964172363","2.8676342964172363","2.8676342964172363"
"150","5","5","5","2.0311639308929443","2.0311639308929443","2.0311639308929443"
"200","7","7","7","1.6688302755355835","1.6688302755355835","1.6688302755355835"
"250","9","9","9","1.5991405248641968","1.5991405248641968","1.5991405248641968"
"300","11","11","11","1.5504225492477417","1.5504225492477417","1.5504225492477417"
"350","13","13","13","1.5121954679489136","1.5121954679489136","1.5121954679489136"
"400","15","15","15","1.4675920009613037","1.4675920009613037","1.4675920009613037"
"450","17","17","17","1.4370319843292236","1.4370319843292236","1.4370319843292236"
"500","19","19","19","1.424769639968872","1.424769639968872","1.424769639968872"
"550","21","21","21","1.4174442291259766","1.4174442291259766","1.4174442291259766"
"600","23","23","23","1.4129213094711304","1.4129213094711304","1.4129213094711304"
"650","25","25","25","1.4103643894195557","1.4103643894195557","1.4103643894195557"
"700","27","27","27","1.4051997661590576","1.4051997661590576","1.4051997661590576"
"750","29","29","29","1.4000575542449951","1.4000575542449951","1.4000575542449951"
"800","31","31","31","1.3943153619766235","1.3943153619766235","1.3943153619766235"
"850","33","33","33","1.3886386156082153","1.3886386156082153","1.3886386156082153"
"900","35","35","35","1.390702486038208","1.390702486038208","1.390702486038208"
"950","37","37","37","1.3874634504318237","1.3874634504318237","1.3874634504318237"
"1000","39","39","39","1.3846831321716309","1.3846831321716309","1.3846831321716309"
"1050","41","41","41","1.3834291696548462","1.3834291696548462","1.3834291696548462"
"1100","43","43","43","1.3809869289398193","1.3809869289398193","1.3809869289398193"
"1150","45","45","45","1.3772542476654053","1.3772542476654053","1.3772542476654053"
"1200","47","47","47","1.375405192375183","1.375405192375183","1.375405192375183"
"1250","49","49","49","1.3747799396514893","1.3747799396514893","1.3747799396514893"
"1300","51","51","51","1.3766684532165527","1.3766684532165527","1.3766684532165527"
"1350","53","53","53","1.3734607696533203","1.3734607696533203","1.3734607696533203"
"1400","55","55","55","1.3720076084136963","1.3720076084136963","1.3720076084136963"
"1450","57","57","57","1.3697971105575562","1.3697971105575562","1.3697971105575562"
"1500","59","59","59","1.3695566654205322","1.3695566654205322","1.3695566654205322"
"1550","61","61","61","1.3679345846176147","1.3679345846176147","1.3679345846176147"
"1600","63","63","63","1.3663057088851929","1.3663057088851929","1.3663057088851929"
"1650","65","65","65","1.3649288415908813","1.3649288415908813","1.3649288415908813"
"1700","67","67","67","1.362595558166504","1.362595558166504","1.362595558166504"
"1750","69","69","69","1.3650785684585571","1.3650785684585571","1.3650785684585571"
"1800","71","71","71","1.3628088235855103","1.3628088235855103","1.3628088235855103"
"1850","73","73","73","1.3607372045516968","1.3607372045516968","1.3607372045516968"
"1900","75","75","75","1.3601210117340088","1.3601210117340088","1.3601210117340088"
"1950","77","77","77","1.359519124031067","1.359519124031067","1.359519124031067"
"2000","79","79","79","1.3598301410675049","1.3598301410675049","1.3598301410675049"
"2050","81","81","81","1.3592472076416016","1.3592472076416016","1.3592472076416016"
"2100","83","83","83","1.3568336963653564","1.3568336963653564","1.3568336963653564"
"2150","85","85","85","1.3592278957366943","1.3592278957366943","1.3592278957366943"
"2200","87","87","87","1.3567513227462769","1.3567513227462769","1.3567513227462769"
"2250","89","89","89","1.3570032119750977","1.3570032119750977","1.3570032119750977"
"2300","91","91","91","1.3561311960220337","1.3561311960220337","1.3561311960220337"
"2350","93","93","93","1.3555489778518677","1.3555489778518677","1.3555489778518677"
"2400","95","95","95","1.3545881509780884","1.3545881509780884","1.3545881509780884"
"2450","97","97","97","1.3571423292160034","1.3571423292160034","1.3571423292160034"
"2500","99","99","99","1.3563302755355835","1.3563302755355835","1.3563302755355835"
"2550","101","101","101","1.3522436618804932","1.3522436618804932","1.3522436618804932"
"2600","103","103","103","1.3533445596694946","1.3533445596694946","1.3533445596694946"
"2650","105","105","105","1.3518617153167725","1.3518617153167725","1.3518617153167725"
"2700","107","107","107","1.350759744644165","1.350759744644165","1.350759744644165"
"2750","109","109","109","1.352006435394287","1.352006435394287","1.352006435394287"
"2800","111","111","111","1.3490703105926514","1.3490703105926514","1.3490703105926514"
"2850","113","113","113","1.3520427942276","1.3520427942276","1.3520427942276"
"2900","115","115","115","1.3494935035705566","1.3494935035705566","1.3494935035705566"
"2950","117","117","117","1.348951816558838","1.348951816558838","1.348951816558838"
"3000","119","119","119","1.3514286279678345","1.3514286279678345","1.3514286279678345"
"3050","121","121","121","1.351698637008667","1.351698637008667","1.351698637008667"
"3100","123","123","123","1.3509480953216553","1.3509480953216553","1.3509480953216553"
"3150","125","125","125","1.349353551864624","1.349353551864624","1.349353551864624"
"3200","127","127","127","1.3489373922348022","1.3489373922348022","1.3489373922348022"
"3250","129","129","129","1.3491199016571045","1.3491199016571045","1.3491199016571045"
"3300","131","131","131","1.3482637405395508","1.3482637405395508","1.3482637405395508"
"3350","133","133","133","1.347374439239502","1.347374439239502","1.347374439239502"
"3400","135","135","135","1.348831295967102","1.348831295967102","1.348831295967102"
"3450","137","137","137","1.3464382886886597","1.3464382886886597","1.3464382886886597"
"3500","139","139","139","1.347659707069397","1.347659707069397","1.347659707069397"
"3550","141","141","141","1.3460094928741455","1.3460094928741455","1.3460094928741455"
"3600","143","143","143","1.3467460870742798","1.3467460870742798","1.3467460870742798"
"3650","145","145","145","1.3460427522659302","1.3460427522659302","1.3460427522659302"
"3700","147","147","147","1.346291184425354","1.346291184425354","1.346291184425354"
"3750","149","149","149","1.3455569744110107","1.3455569744110107","1.3455569744110107"
"3800","151","151","151","1.3439019918441772","1.3439019918441772","1.3439019918441772"
"3850","153","153","153","1.3490662574768066","1.3490662574768066","1.3490662574768066"
"3900","155","155","155","1.3458784818649292","1.3458784818649292","1.3458784818649292"
"3950","157","157","157","1.345731258392334","1.345731258392334","1.345731258392334"
"4000","159","159","159","1.3450134992599487","1.3450134992599487","1.3450134992599487"
"4050","161","161","161","1.3468642234802246","1.3468642234802246","1.3468642234802246"
"4100","163","163","163","1.3474442958831787","1.3474442958831787","1.3474442958831787"
"4150","165","165","165","1.3445769548416138","1.3445769548416138","1.3445769548416138"
"4200","167","167","167","1.3455531597137451","1.3455531597137451","1.3455531597137451"
"4250","169","169","169","1.347148060798645","1.347148060798645","1.347148060798645"
"4300","171","171","171","1.345552921295166","1.345552921295166","1.345552921295166"
"4350","173","173","173","1.3464678525924683","1.3464678525924683","1.3464678525924683"
"4400","175","175","175","1.3466249704360962","1.3466249704360962","1.3466249704360962"
"4450","177","177","177","1.3443241119384766","1.3443241119384766","1.3443241119384766"
"4500","179","179","179","1.344718098640442","1.344718098640442","1.344718098640442"
"4550","181","181","181","1.3445264101028442","1.3445264101028442","1.3445264101028442"
"4600","183","183","183","1.344918966293335","1.344918966293335","1.344918966293335"
"4650","185","185","185","1.343104600906372","1.343104600906372","1.343104600906372"
"4700","187","187","187","1.3474781513214111","1.3474781513214111","1.3474781513214111"
"4750","189","189","189","1.3454973697662354","1.3454973697662354","1.3454973697662354"
"4800","191","191","191","1.346696376800537","1.346696376800537","1.346696376800537"
"4850","193","193","193","1.3498278856277466","1.3498278856277466","1.3498278856277466"
