"train/global_step","./falcon_results_packing - _step","./falcon_results_packing - _step__MIN","./falcon_results_packing - _step__MAX","./falcon_results_packing - eval/loss","./falcon_results_packing - eval/loss__MIN","./falcon_results_packing - eval/loss__MAX"
"50","1","1","1","3.406909942626953","3.406909942626953","3.406909942626953"
"100","3","3","3","2.8827834129333496","2.8827834129333496","2.8827834129333496"
"150","5","5","5","2.222339630126953","2.222339630126953","2.222339630126953"
"200","7","7","7","1.7061870098114014","1.7061870098114014","1.7061870098114014"
"250","9","9","9","1.6015019416809082","1.6015019416809082","1.6015019416809082"
"300","11","11","11","1.5635496377944946","1.5635496377944946","1.5635496377944946"
"350","13","13","13","1.5360411405563354","1.5360411405563354","1.5360411405563354"
"400","15","15","15","1.5126408338546753","1.5126408338546753","1.5126408338546753"
"450","17","17","17","1.4868223667144775","1.4868223667144775","1.4868223667144775"
"500","19","19","19","1.4666060209274292","1.4666060209274292","1.4666060209274292"
"550","21","21","21","1.445144772529602","1.445144772529602","1.445144772529602"
"600","23","23","23","1.4197925329208374","1.4197925329208374","1.4197925329208374"
"650","25","25","25","1.4082740545272827","1.4082740545272827","1.4082740545272827"
"700","27","27","27","1.403580904006958","1.403580904006958","1.403580904006958"
"750","29","29","29","1.398282766342163","1.398282766342163","1.398282766342163"
"800","31","31","31","1.3950672149658203","1.3950672149658203","1.3950672149658203"
"850","33","33","33","1.3940069675445557","1.3940069675445557","1.3940069675445557"
"900","35","35","35","1.3926374912261963","1.3926374912261963","1.3926374912261963"
"950","37","37","37","1.3890308141708374","1.3890308141708374","1.3890308141708374"
"1000","39","39","39","1.3880031108856201","1.3880031108856201","1.3880031108856201"
"1050","41","41","41","1.385216236114502","1.385216236114502","1.385216236114502"
"1100","43","43","43","1.3844614028930664","1.3844614028930664","1.3844614028930664"
"1150","45","45","45","1.3805906772613525","1.3805906772613525","1.3805906772613525"
"1200","47","47","47","1.3798882961273193","1.3798882961273193","1.3798882961273193"
"1250","49","49","49","1.3771909475326538","1.3771909475326538","1.3771909475326538"
"1300","51","51","51","1.3774538040161133","1.3774538040161133","1.3774538040161133"
"1350","53","53","53","1.3746247291564941","1.3746247291564941","1.3746247291564941"
"1400","55","55","55","1.3737096786499023","1.3737096786499023","1.3737096786499023"
"1450","57","57","57","1.3718730211257935","1.3718730211257935","1.3718730211257935"
"1500","59","59","59","1.3710086345672607","1.3710086345672607","1.3710086345672607"
"1550","61","61","61","1.370400309562683","1.370400309562683","1.370400309562683"
"1600","63","63","63","1.372076392173767","1.372076392173767","1.372076392173767"
"1650","65","65","65","1.3670533895492554","1.3670533895492554","1.3670533895492554"
"1700","67","67","67","1.3647992610931396","1.3647992610931396","1.3647992610931396"
"1750","69","69","69","1.3625593185424805","1.3625593185424805","1.3625593185424805"
"1800","71","71","71","1.362403154373169","1.362403154373169","1.362403154373169"
"1850","73","73","73","1.3618113994598389","1.3618113994598389","1.3618113994598389"
"1900","75","75","75","1.3618581295013428","1.3618581295013428","1.3618581295013428"
"1950","77","77","77","1.3616305589675903","1.3616305589675903","1.3616305589675903"
"2000","79","79","79","1.360655426979065","1.360655426979065","1.360655426979065"
"2050","81","81","81","1.3595218658447266","1.3595218658447266","1.3595218658447266"
"2100","83","83","83","1.359440565109253","1.359440565109253","1.359440565109253"
"2150","85","85","85","1.358600378036499","1.358600378036499","1.358600378036499"
"2200","87","87","87","1.3603674173355103","1.3603674173355103","1.3603674173355103"
"2250","89","89","89","1.3585460186004639","1.3585460186004639","1.3585460186004639"
"2300","91","91","91","1.3572689294815063","1.3572689294815063","1.3572689294815063"
