"train/global_step","./results_packing - _step","./results_packing - _step__MIN","./results_packing - _step__MAX","./results_packing - eval/loss","./results_packing - eval/loss__MIN","./results_packing - eval/loss__MAX"
"50","1","1","1","2.716813087463379","2.716813087463379","2.716813087463379"
"100","3","3","3","2.537325859069824","2.537325859069824","2.537325859069824"
"150","5","5","5","2.274059772491455","2.274059772491455","2.274059772491455"
"200","7","7","7","2.0298044681549072","2.0298044681549072","2.0298044681549072"
"250","9","9","9","1.9401381015777588","1.9401381015777588","1.9401381015777588"
"300","11","11","11","1.8945101499557495","1.8945101499557495","1.8945101499557495"
"350","13","13","13","1.8555456399917603","1.8555456399917603","1.8555456399917603"
"400","15","15","15","1.8104277849197388","1.8104277849197388","1.8104277849197388"
"450","17","17","17","1.7825456857681274","1.7825456857681274","1.7825456857681274"
"500","19","19","19","1.7846126556396484","1.7846126556396484","1.7846126556396484"
"550","21","21","21","1.7791789770126343","1.7791789770126343","1.7791789770126343"
"600","23","23","23","1.775963306427002","1.775963306427002","1.775963306427002"
"650","25","25","25","1.7758103609085083","1.7758103609085083","1.7758103609085083"
"700","27","27","27","1.767383337020874","1.767383337020874","1.767383337020874"
"750","29","29","29","1.767465591430664","1.767465591430664","1.767465591430664"
"800","31","31","31","1.763448715209961","1.763448715209961","1.763448715209961"
"850","33","33","33","1.7592953443527222","1.7592953443527222","1.7592953443527222"
"900","35","35","35","1.7773301601409912","1.7773301601409912","1.7773301601409912"
"950","37","37","37","1.7697653770446777","1.7697653770446777","1.7697653770446777"
"1000","39","39","39","1.7670472860336304","1.7670472860336304","1.7670472860336304"
"1050","41","41","41","1.7696707248687744","1.7696707248687744","1.7696707248687744"
"1100","43","43","43","1.7668803930282593","1.7668803930282593","1.7668803930282593"
"1150","45","45","45","1.7643418312072754","1.7643418312072754","1.7643418312072754"
"1200","47","47","47","1.7633792161941528","1.7633792161941528","1.7633792161941528"
"1250","49","49","49","1.7663395404815674","1.7663395404815674","1.7663395404815674"
"1300","51","51","51","1.7639250755310059","1.7639250755310059","1.7639250755310059"
"1350","53","53","53","1.7637027502059937","1.7637027502059937","1.7637027502059937"
"1400","55","55","55","1.7636975049972534","1.7636975049972534","1.7636975049972534"
"1450","57","57","57","1.7604665756225586","1.7604665756225586","1.7604665756225586"
"1500","59","59","59","1.7601341009140015","1.7601341009140015","1.7601341009140015"
"1550","61","61","61","1.7623536586761475","1.7623536586761475","1.7623536586761475"
"1600","63","63","63","1.7584673166275024","1.7584673166275024","1.7584673166275024"
"1650","65","65","65","1.7651523351669312","1.7651523351669312","1.7651523351669312"
"1700","67","67","67","1.7622191905975342","1.7622191905975342","1.7622191905975342"
"1750","69","69","69","1.7807191610336304","1.7807191610336304","1.7807191610336304"
"1800","71","71","71","1.77725350856781","1.77725350856781","1.77725350856781"
"1850","73","73","73","1.7740715742111206","1.7740715742111206","1.7740715742111206"
"1900","75","75","75","1.780548095703125","1.780548095703125","1.780548095703125"
"1950","77","77","77","1.776845097541809","1.776845097541809","1.776845097541809"
"2000","79","79","79","1.7758246660232544","1.7758246660232544","1.7758246660232544"
"2050","81","81","81","1.7751792669296265","1.7751792669296265","1.7751792669296265"
"2100","83","83","83","1.7705870866775513","1.7705870866775513","1.7705870866775513"
"2150","85","85","85","1.7892884016036987","1.7892884016036987","1.7892884016036987"
"2200","87","87","87","1.7873166799545288","1.7873166799545288","1.7873166799545288"
"2250","89","89","89","1.7922440767288208","1.7922440767288208","1.7922440767288208"
"2300","91","91","91","1.7932020425796509","1.7932020425796509","1.7932020425796509"
"2350","93","93","93","1.7894644737243652","1.7894644737243652","1.7894644737243652"
