"Step","./results_packing - eval/loss","./results_packing - eval/loss__MIN","./results_packing - eval/loss__MAX"
"1","2.6642608642578125","2.6642608642578125","2.6642608642578125"
"3","2.4691848754882812","2.4691848754882812","2.4691848754882812"
"5","2.262701988220215","2.262701988220215","2.262701988220215"
"7","2.025172472000122","2.025172472000122","2.025172472000122"
"9","1.9268940687179565","1.9268940687179565","1.9268940687179565"
"11","1.8805383443832397","1.8805383443832397","1.8805383443832397"
"13","1.8394306898117065","1.8394306898117065","1.8394306898117065"
"15","1.8187685012817383","1.8187685012817383","1.8187685012817383"
"17","1.779522180557251","1.779522180557251","1.779522180557251"
"19","1.7505642175674438","1.7505642175674438","1.7505642175674438"
"21","1.7397936582565308","1.7397936582565308","1.7397936582565308"
"23","1.7305924892425537","1.7305924892425537","1.7305924892425537"
"25","1.7256126403808594","1.7256126403808594","1.7256126403808594"
"27","1.729261875152588","1.729261875152588","1.729261875152588"
"29","1.7238250970840454","1.7238250970840454","1.7238250970840454"
"31","1.7229039669036865","1.7229039669036865","1.7229039669036865"
"33","1.7258604764938354","1.7258604764938354","1.7258604764938354"
"35","1.724289059638977","1.724289059638977","1.724289059638977"
"37","1.7212821245193481","1.7212821245193481","1.7212821245193481"
"39","1.719315767288208","1.719315767288208","1.719315767288208"
"41","1.720164179801941","1.720164179801941","1.720164179801941"
"43","1.7193002700805664","1.7193002700805664","1.7193002700805664"
"45","1.7173376083374023","1.7173376083374023","1.7173376083374023"
"47","1.7170360088348389","1.7170360088348389","1.7170360088348389"
"49","1.7196249961853027","1.7196249961853027","1.7196249961853027"
"51","1.7326290607452393","1.7326290607452393","1.7326290607452393"
"53","1.7334802150726318","1.7334802150726318","1.7334802150726318"
"55","1.7338324785232544","1.7338324785232544","1.7338324785232544"
"57","1.7311909198760986","1.7311909198760986","1.7311909198760986"
"59","1.7295007705688477","1.7295007705688477","1.7295007705688477"
"61","1.7253060340881348","1.7253060340881348","1.7253060340881348"
"63","1.731216311454773","1.731216311454773","1.731216311454773"
"65","1.7266608476638794","1.7266608476638794","1.7266608476638794"
"67","1.7187070846557617","1.7187070846557617","1.7187070846557617"
"69","1.717522144317627","1.717522144317627","1.717522144317627"
"71","1.7148997783660889","1.7148997783660889","1.7148997783660889"
"73","1.7164578437805176","1.7164578437805176","1.7164578437805176"
"75","1.7188862562179565","1.7188862562179565","1.7188862562179565"
"77","1.719285249710083","1.719285249710083","1.719285249710083"
"79","1.7185642719268799","1.7185642719268799","1.7185642719268799"
"81","1.7146369218826294","1.7146369218826294","1.7146369218826294"
"83","1.7207776308059692","1.7207776308059692","1.7207776308059692"
"85","1.7203490734100342","1.7203490734100342","1.7203490734100342"
"87","1.7202039957046509","1.7202039957046509","1.7202039957046509"
"89","1.7213629484176636","1.7213629484176636","1.7213629484176636"
"91","1.7195042371749878","1.7195042371749878","1.7195042371749878"
"93","1.7208317518234253","1.7208317518234253","1.7208317518234253"
"95","1.720030426979065","1.720030426979065","1.720030426979065"
"97","1.7213672399520874","1.7213672399520874","1.7213672399520874"
"99","1.720950722694397","1.720950722694397","1.720950722694397"
"101","1.7476885318756104","1.7476885318756104","1.7476885318756104"
"103","1.74430513381958","1.74430513381958","1.74430513381958"
"105","1.7435847520828247","1.7435847520828247","1.7435847520828247"
"107","1.7453854084014893","1.7453854084014893","1.7453854084014893"
"109","1.7408183813095093","1.7408183813095093","1.7408183813095093"
"111","1.7413407564163208","1.7413407564163208","1.7413407564163208"
"113","1.7450364828109741","1.7450364828109741","1.7450364828109741"
"115","1.739850640296936","1.739850640296936","1.739850640296936"
"117","1.7310177087783813","1.7310177087783813","1.7310177087783813"
"119","1.734244704246521","1.734244704246521","1.734244704246521"
"121","1.7305129766464233","1.7305129766464233","1.7305129766464233"
"123","1.7340110540390015","1.7340110540390015","1.7340110540390015"
"125","1.736283540725708","1.736283540725708","1.736283540725708"
"127","1.736323356628418","1.736323356628418","1.736323356628418"
"129","1.729143500328064","1.729143500328064","1.729143500328064"
"131","1.7347863912582397","1.7347863912582397","1.7347863912582397"
"133","1.7390875816345215","1.7390875816345215","1.7390875816345215"
"135","1.739143967628479","1.739143967628479","1.739143967628479"
